nome;indice;latitude;longitude;raio
Polygon 076;1817;-20,239389;-50,646166;50
Polygon 076;1817;-20,238294;-50,643103;50
Polygon 076;1817;-20,239329;-50,639903;50
Polygon 074;1815;-20,239570;-50,882383;50
Polygon 079;1820;-21,029438;-51,215830;50
Polygon 076;1817;-20,238879;-50,640293;50
Polygon 076;1817;-20,241749;-50,640395;50
Polygon 076;1817;-20,241299;-50,640785;50
Polygon 076;1817;-20,241299;-50,640005;50
Polygon 076;1817;-20,240292;-50,636140;50
Polygon 076;1817;-20,250732;-50,637126;50
Polygon 077;1818;-21,303665;-50,725978;50
Polygon 077;1818;-21,303665;-50,725198;50
Polygon 077;1818;-21,303215;-50,725588;50
Polygon 077;1818;-21,301864;-50,723638;50
Polygon 078;1819;-21,102691;-51,495410;50
Polygon 276;1278;-21,455257;-49,956322;50
Polygon 276;1278;-21,471257;-49,943337;50
Polygon 276;1278;-21,471257;-49,942557;50
Polygon 276;1278;-21,470806;-49,942947;50
Polygon 686;686;-17,808110;-50,578361;50
Polygon 686;686;-17,807660;-50,577191;50
Polygon 686;686;-17,821832;-50,575287;50
Polygon 686;686;-17,824756;-50,576085;50
Polygon 686;686;-17,814953;-50,618257;50
Polygon 686;686;-17,814953;-50,617476;50
Polygon 686;686;-17,814502;-50,617867;50
Polygon 686;686;-17,811714;-50,581482;50
Polygon 686;686;-17,811264;-50,581092;50
Polygon 686;686;-17,809912;-50,580702;50
Polygon 686;686;-17,809462;-50,580312;50
Polygon 686;686;-17,808561;-50,579531;50
Polygon 686;686;-17,807660;-50,578751;50
Polygon 686;686;-17,807210;-50,578361;50
Polygon 686;686;-17,806759;-50,577971;50
Polygon 079;1820;-21,029438;-51,216611;50
Polygon 277;1279;-21,894483;-51,835443;50
Polygon 277;1279;-21,894483;-51,834663;50
Polygon 080;1821;-20,761105;-51,692262;50
Polygon 080;1821;-20,780796;-51,665993;50
Polygon 080;1821;-20,779896;-51,665993;50
Polygon 080;1821;-20,778995;-51,665993;50
Polygon 080;1821;-20,779896;-51,665213;50
Polygon 677;677;-16,798558;-49,129788;50
Polygon 677;677;-16,798884;-49,130462;50
Polygon 080;1821;-20,781697;-51,665095;50
Polygon 080;1821;-20,796238;-51,670783;50
Polygon 319;1640;-23,217900;-45,791895;50
Polygon 681;681;-16,844556;-49,116276;50
Polygon 681;681;-16,844556;-49,115496;50
Polygon 686;686;-17,808110;-50,579141;50
Polygon 686;686;-17,808561;-50,578751;50
Polygon 318;1639;-23,539669;-47,197213;50
Polygon 318;1639;-23,539669;-47,196433;50
Polygon 318;1639;-23,549475;-47,183667;50
Polygon 318;1639;-23,534106;-47,192932;50
Polygon 277;1279;-21,893582;-51,834663;50
Polygon 277;1279;-21,872725;-51,862223;50
Polygon 277;1279;-21,872275;-51,861833;50
Polygon 277;1279;-21,873244;-51,860074;50
Polygon 277;1279;-21,872793;-51,859684;50
Polygon 277;1279;-21,873244;-51,856649;50
Polygon 277;1279;-21,872793;-51,857039;50
Polygon 277;1279;-21,872343;-51,856649;50
