nome,indice,latitude,longitude,raio
Polygon 099,1420,-23.22706621017194,-45.82795939770721,10
Polygon 099,1420,-23.22697612008185,-45.82803741801386,10
Polygon 099,1420,-23.22724639035212,-45.82780335709392,10
Polygon 099,1420,-23.22715630026203,-45.827881377400566,10
Polygon 099,1420,-23.227594042291393,-45.827430204152755,10
Polygon 100,1421,-23.81341490990991,-46.05050837985274,10
Polygon 099,1420,-23.227069229779662,-45.829367906445896,10
Polygon 099,1420,-23.22688904959948,-45.829367906445896,10
Polygon 099,1420,-23.226979139689572,-45.82928988613925,10
Polygon 099,1420,-23.22688904959948,-45.829211865832605,10
Polygon 301,301,-16.80538099125991,-49.138462909946966,10
Polygon 301,301,-16.804606965365856,-49.13948958694087,10
Polygon 289,289,-16.84000556230991,-49.11712187865574,10
Polygon 098,1419,-23.133308758769367,-46.697217483073445,10
Polygon 098,1419,-23.133218668679277,-46.69729550338009,10
Polygon 248,2133,-22.353152678329728,-48.78720818883384,10
Polygon 299,299,-18.923684050521857,-48.343440305445014,10
Polygon 299,299,-18.923593960431766,-48.34336228513837,10
Polygon 299,299,-18.92432649860991,-48.34491288963894,10
Polygon 299,299,-18.92432649860991,-48.34475684902565,10
Polygon 308,308,-16.73936789651982,-49.21884870400139,10
Polygon 299,299,-18.92432649860991,-48.34460080841236,10
Polygon 299,299,-18.92423640851982,-48.344678828719005,10
Polygon 301,301,-16.80538099125991,-49.13861895056026,10
Polygon 301,301,-16.80529090116982,-49.1386969708669,10
Polygon 099,1420,-23.22661877932921,-45.82913384552596,10
Polygon 099,1420,-23.22688602999176,-45.8281154383205,10
Polygon 099,1420,-23.22679593990167,-45.82819345862715,10
Polygon 248,2133,-22.35144678530991,-48.799028530321095,10
Polygon 248,2133,-22.349398877205697,-48.800142256348146,10
Polygon 248,2133,-22.349669147475968,-48.8000642360415,10
Polygon 099,1420,-23.22679895950939,-45.82928988613925,10
Polygon 099,1420,-23.2267088694193,-45.829211865832605,10
Polygon 099,1420,-23.22679895950939,-45.82913384552596,10
Polygon 034,1356,-23.794219399617322,-46.08369697969336,10
Polygon 098,1419,-23.133128578589186,-46.697373523686736,10
Polygon 098,1419,-23.133849299309908,-46.697217483073445,10
Polygon 098,1419,-23.133759209219818,-46.69729550338009,10
Polygon 098,1419,-23.133488938949547,-46.697217483073445,10
Polygon 248,2133,-22.335602478439885,-48.78715198940025,10
Polygon 248,2133,-22.33543287452973,-48.77083688229335,10
Polygon 248,2133,-22.33561305470991,-48.77068084168006,10
Polygon 248,2133,-22.353062588239638,-48.78728620914048,10
Polygon 248,2133,-22.35324276841982,-48.78713016852719,10
Polygon 248,2133,-22.353152678329728,-48.787052148220546,10
Polygon 248,2133,-22.35333285850991,-48.786896107607255,10
Polygon 248,2133,-22.35324276841982,-48.7869741279139,10
Polygon 248,2133,-22.35333285850991,-48.786740066993964,10
Polygon 248,2133,-22.35324276841982,-48.78681808730061,10
Polygon 248,2133,-22.35333285850991,-48.78658402638067,10
Polygon 248,2133,-22.35344680434704,-48.78874458349623,10
Polygon 248,2133,-22.35335671425695,-48.78866656318959,10
Polygon 248,2133,-22.35424892125991,-48.78991938586432,10
Polygon 248,2133,-22.35424892125991,-48.78976334525103,10
Polygon 248,2133,-22.35352064125991,-48.792394323512895,10
Polygon 248,2133,-22.36755553130278,-48.754097615907796,10
Polygon 248,2133,-22.36908986132082,-48.758363401346834,10
Polygon 248,2133,-22.349488967295787,-48.8000642360415,10
Polygon 248,2133,-22.349398877205697,-48.799986215734855,10
Polygon 248,2133,-22.319845162101625,-48.79648831170079,10
Polygon 248,2133,-22.319664981921445,-48.79648831170079,10
Polygon 248,2133,-22.319755072011535,-48.796410291394146,10
Polygon 248,2133,-22.320232020799455,-48.796313490368846,10
Polygon 248,2133,-22.32493533560991,-48.79646818551742,10
Polygon 248,2133,-22.32484524551982,-48.796546205824065,10
Polygon 279,279,-18.17490553614908,-49.353178860435484,10
Polygon 281,281,-17.534155340242048,-50.20110532507378,10
Polygon 248,2133,-22.33552296461982,-48.77075886198671,10
Polygon 248,2133,-22.33305609252578,-48.76079015856719,10
Polygon 248,2133,-22.33296600243569,-48.760712138260544,10
Polygon 248,2133,-22.33278582225551,-48.760712138260544,10
Polygon 248,2133,-22.33269573216542,-48.7606341179539,10
Polygon 248,2133,-22.33300769435277,-48.762245388485844,10
Polygon 248,2133,-22.33300769435277,-48.76208934787255,10
Polygon 248,2133,-22.33300769435277,-48.76193330725926,10
Polygon 248,2133,-22.33300769435277,-48.76177726664597,10
Polygon 248,2133,-22.34790765245675,-48.75572648645705,10
Polygon 248,2133,-22.35376634390991,-48.76049478489603,10
Polygon 248,2133,-22.363449426510982,-48.76274744481766,10
Polygon 248,2133,-22.35920929628878,-48.76721834918491,10
Polygon 248,2133,-22.359119206198688,-48.76714032887826,10
Polygon 248,2133,-22.360563552535147,-48.767639269791225,10
Polygon 248,2133,-22.360653642625238,-48.76756124948458,10
Polygon 248,2133,-22.36908986132082,-48.75820736073354,10
Polygon 248,2133,-22.36899977123073,-48.75828538104019,10
Polygon 248,2133,-22.36890968114064,-48.75820736073354,10
Polygon 248,2133,-22.36908986132082,-48.75805132012025,10
Polygon 248,2133,-22.36899977123073,-48.7581293404269,10
Polygon 248,2133,-22.36908986132082,-48.75789527950696,10
Polygon 248,2133,-22.36896236762973,-48.75965349313972,10
Polygon 248,2133,-22.36914254780991,-48.75949745252643,10
Polygon 248,2133,-22.36905245771982,-48.75957547283308,10
Polygon 036,1358,-22.964443595365854,-45.46734990694087,10
Polygon 037,1359,-22.88744463322973,-45.47780597889336,10
Polygon 279,279,-18.172454939364727,-49.357099165232334,10
Polygon 279,279,-18.172545029454817,-49.35702114492569,10
Polygon 279,279,-18.1709187665835,-49.35681531506726,10
Polygon 279,279,-18.1709187665835,-49.35665927445397,10
Polygon 279,279,-18.17086846796459,-49.356130370706914,10
Polygon 279,279,-18.1716713241439,-49.35550523536992,10
Polygon 279,279,-18.19266043530991,-49.35271739842603,10
Polygon 279,279,-18.19266043530991,-49.35256135781274,10
Polygon 287,287,-16.79986849580991,-49.14328897622096,10
